task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,acq_start.thisRepN,acq_start.thisTrialN,acq_start.thisN,acq_start.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,math_trials.thisRepN,math_trials.thisTrialN,math_trials.thisN,math_trials.thisIndex,p_port.started,p_port.stopped,text_11.started,p_port_x_send_6.started,text_11.stopped,p_port_x_send_6.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,textbox.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,r,0,1.0905005000004167,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,r,1,0.19521609999992506,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,r,0,0.6164476999992985,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,r,0,1.1159262999999555,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,r,0,0.36405119999926683,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,r,1,0.2336699999996199,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,r,1,0.1579379999993762,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,1,0,9,7,,,,,,,,,,,,,,,,,,,,,,r,0,0.11565929999960645,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,1,1,10,8,,,,,,,,,,,,,,,,,,,,,,r,0,0.15786949999983335,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,1,2,11,6,,,,,,,,,,,,,,,,,,,,,,r,0,0.14771920000021055,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
