task_name,duration,task_type,task_parameters,start_trigger,end_trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,p_port.started,text_10.started,p_port_x_send_5.started,p_port_x_send_5.stopped,text_10.stopped,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,100,101,0,0,0,0,0,0,0,0,,,,,,,,,2.0599999970727367e-05,16.25264789999983,0.0007780000000821019,4.998790500000041,21.269482400000015,,,Results/,2022-08-24_14h22.50.840,scheduler,2022.2.3,59.93101939659659,
Wait 1,5,wait,None,100,101,0,0,0,0,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h22.50.840,scheduler,2022.2.3,59.93101939659659,
