task_name,duration,task_type,task_parameters,start_trigger,end_trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,p_port.started,p_port.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,100,101,0,0,0,0,0,0,0,0,,,,,,,,,1.9600000086938962e-05,0.08708010000009381,8.111195999999836,0.0004029000001537497,13.129033199999867,5.013924300000326,,,Results/,2022-08-24_14h24.06.096,scheduler,2022.2.3,59.957502122428416,
Wait 1,5,wait,None,100,101,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h24.06.096,scheduler,2022.2.3,59.957502122428416,
