task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,acq_start.thisRepN,acq_start.thisTrialN,acq_start.thisN,acq_start.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,math_trials.thisRepN,math_trials.thisTrialN,math_trials.thisN,math_trials.thisIndex,text_11.started,p_port_x_send_6.started,text_11.stopped,p_port_x_send_6.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,p_port_x_send_2.started,p_port_x_send_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,p_port_x_send_4.started,p_port_x_send_4.stopped,textbox.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,0.019996300000457268,1.5592034999999669,None,0,,,,,,,,,,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,subtraction,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,4,0,11.971691800000372,"3
",,,,,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,multiplication,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,35,0,0.5486522999999579,"3
",,,,,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,addition,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,14,0,0.5786195000000589,"3
",,,,,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,division,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,0.5,0,0.6072179000002507,"3
",,,,,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,division,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,1.8,0,0.6329242000001614,,0.09611680000034539,0.8154655000007551,"3
",,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,multiplication,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,5,0,4.138222600000518,,0.023221699999339762,4.262447499999325,"3
",,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,addition,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,20,0,0.7758110000004308,,0.02277779999985796,0.9056592999995701,"3
",,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,subtraction,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,-1,0,0.6515208000000712,,0.025411699999494886,0.7852871999994022,"3
",,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,division,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0,4,2,,,,,,,,,,,,,,,,,0.3333333333333333,0,0.557303999999931,,0.024507600000106322,0.6857691999994131,"3
",,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,multiplication,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1,5,3,,,,,,,,,,,,,,,,,40,0,0.48107139999956416,,0.023843899999519635,0.6025584999997591,"3
",,,Results/,2022-08-24_15h26.01.869,scheduler,2022.2.3,60.591849063291974,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023297699999602628,11.862925599999471,,,,,,,,,
