task_name,duration,task_type,task_parameters,start_trigger,end_trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,p_port.started,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,130,131,0,0,0,0,0,0,0,0,,,,,,,,,2.0500000118772732e-05,11.699471200000062,0.0006295999996837054,16.699974799999836,5.009088899999824,,,Results/,2022-08-24_14h42.53.231,scheduler,2022.2.3,59.31841949638208,
Wait 1,5,wait,None,130,131,0,0,0,0,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h42.53.231,scheduler,2022.2.3,59.31841949638208,
