task_name,duration,task_type,task_parameters,start_trigger,end_trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,text_10.started,p_port_x_send_5.started,p_port_x_send_5.stopped,text_10.stopped,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,100,101,0,0,0,0,0,0,0,0,,,,,,,,,11.07146079999984,0.00037550000001829176,4.998310500000116,16.090103599999793,,,Results/,2022-08-24_14h13.45.458,scheduler,2022.2.3,59.956962892031605,
Wait 1,5,wait,None,100,101,0,0,0,0,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h13.45.458,scheduler,2022.2.3,59.956962892031605,
