task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,p_port.started,p_port.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,130,131,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.0599999970727367e-05,0.0908292000003712,8.516520499999842,0.0004619999999704305,13.517233499999747,5.009363199999825,,,,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Wait 1,5,wait,None,130,131,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,,,,r,1,1.7230048000001261,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,1,1,8,,,,,,,,,,,,,,,r,0,1.1957217999997738,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,2,2,6,,,,,,,,,,,,,,,r,0,0.2914221999999427,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,r,1,0.21938319999981104,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,4,4,5,,,,,,,,,,,,,,,r,0,0.15371490000006816,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,5,5,7,,,,,,,,,,,,,,,r,0,0.09358149999980014,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,6,6,1,,,,,,,,,,,,,,,r,1,0.04876700000022538,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,7,7,3,,,,,,,,,,,,,,,r,0,0.022341100000176084,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
