task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,p_port.started,p_port.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,0,8,8,4,,,,,,,,,,,,,,,r,0,0.026592499999878783,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,r,0,0.6216141999998399,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,r,0,2.0310717000002114,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,r,0,2.1383081999997557,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,blue,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,r,0,3.3279474000000846,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,green,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,r,0,0.11686490000010963,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,r,1,0.1739450999998553,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,r,1,0.21141370000032111,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,r,1,0.16738900000018475,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,blue,congruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,r,0,0.3332375999998476,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,BLUE,red,incongruent,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,1,0,9,2,,,,,,,,,,,,,,None,0,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,multiplication,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,3,,,,,,,,,,,,,2,0,3.3952290000001994,"3
",,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,division,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,2,,,,,,,,,,,,,0.8888888888888888,0,0.5558682000000772,"34
",,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,subtraction,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,1,,,,,,,,,,,,,0,0,1.7657607000001008,"34
",,,Results/,2022-08-24_14h38.36.791,scheduler,2022.2.3,60.42829155914328,
