task_name,duration,task_type,task_parameters,start_trigger,end_trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,p_port.started,p_port.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Wait 1,5,wait,None,130,131,0,0,0,0,0,0,0,0,,,,,,,,,1.9699999938893598e-05,0.9995131000000583,10.893157200000132,0.0008133999999699881,15.89354800000001,5.002745900000264,,,Results/,2022-08-24_14h45.00.159,scheduler,2022.2.3,60.001392032198865,
Wait 1,5,wait,None,130,131,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_14h45.00.159,scheduler,2022.2.3,60.001392032198865,
